Key,English,French
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Pour positionner la caméra à votre guise, déplacez la souris tout en maintenant le clic droit enfoncé, ou utilisez les flèches directionnelles."
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","La barre d'Espace vous permet de sauter, mais également de contrôler votre personnage en vol."
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,"Il est possible de voler à partir du niveau 20, quelque soit votre classe. Vous pouvez acheter des objets volants à la [Station] de chaque ville."
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Lorsque vous êtes hors combat, votre personnage peux s'asseoir pour se refaire une santé. Bien sûr vous pouvez également utiliser l'un des nombreux objets, mais attention à votre porte-monnaie!"
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Vous pouvez ressusciter dans la ville la plus proche en sélectionnant ""Puits de vie"" dans la fenêtre de renaissance. Si vous avez un ""Parchemin de résurrection"" ou une compétence de résurrection, l'option ""sur place"" s'activera, vous permettant de revenir à la vie à l'endroit où vous êtes mort."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Des objets redonnent PV, PM, PF comme la nourriture, les boissons vitaminées. Consulter leur capacités pour être efficace."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Des que vous aurez atteint le niveau 15, faîtes votre quête de classe le plus vite possible. Vous ne gagnerez pas d'expérience sinon."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Appuyez sur ESC pour décibler
CLIENT_TIP_INC_000008,Troupe means Party.,Jouer en groupe est la clé du succès.
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Pour utiliser une compétence, appuyez sur K et faites glisser un icône de compétence en bas de votre écran (emplacement F1 à F10). Pour utiliser des enchainements de compétences, placez les compétences dans l'action slot et appuyez sur la touche C."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,"Vous devez utiliser ""Frappe Pure"" pour commencer un enchainement de coup dans votre barre d'action."
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Ciblez un personnage, faites un clic gauche en maintenant la touche Alt appuyée et choisissez ""suivre"" pour suivre ce personnage Appuyez sur la touche Espace en maintenant W enfoncé si vous volez."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Un clic gauche sur un personnage en maintenant la touche Alt enfoncée active des options comme le menu de guilde, de messagerie, d'échange..."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,Appuyer sur W pour marcher et une deuxième fois pour courir à nouveau.
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,Ne donnez jamais votre mot de passe à qui que ce soit. Un employé de gPotato ne vous demandera jamais cette information.
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,La vente et l'achat de penya sur internet est interdite. Acheter des penyas expose votre compte à des sanctions.
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Il est interdit de partager, donner ou vendre un compte gPotato. Tout manquement à cette règle pourra être sanctionné."
