Key,English,Indonesian
CLIENT_FAQ_INC_000000,How can I be resurrected?,Bagaimana saya bisa dibangkitkan?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Anda dapat dihidupkan kembali di kota terdekat dengan memilih 'Lodestar' di jendela revive. Jika Anda memiliki 'Scroll of Resurrection' atau resurrection skill dilemparkan pada Anda, Anda dapat hidup kembali secara instan di tempat Anda mati."
CLIENT_FAQ_INC_000002,Where are the monsters?,Di mana monster-monster itu?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,Mereka berada di ladang. Pastikan untuk melawan hanya mereka yang bisa Anda tangani.
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Bagaimana cara menetapkan target dan membatalkan pilihannya?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.","Klik dua kali target dengan mouse Anda untuk menyerangnya, klik sekali saja untuk menargetkannya, dan klik ESC untuk membatalkan pilihannya."
CLIENT_FAQ_INC_000006,How can I attack continuously?,Bagaimana saya bisa menyerang terus menerus?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Pastikan pengaturan Auto Attack dicentang di Option Window.
CLIENT_FAQ_INC_000008,How do you use the skills?,Bagaimana cara menggunakan keterampilan?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Tekan K untuk menu Skills dan seret skill icons yang ingin kamu gunakan ke dalam action slot di sisi kanan bawah layarmu.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Bagaimana cara menggunakan keterampilan secara terus menerus?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Tempatkan keterampilan di slot aksi dan tekan C saat menargetkan sesuatu untuk menggunakan keterampilan tersebut. Gerakan yang berbentuk seperti potongan puzzle perlu ditempatkan bersama.
CLIENT_FAQ_INC_000012,How do I gain my health back?,Bagaimana cara mendapatkan health saya kembali?
