Key,English,Russian
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button."
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Чтобы подпрыгнуть, нажмите 'Пробел'. 'Пробел' также отвечает за набор скорости и торможение при полете."
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Полеты разрешены всем мадригальцам вне зависимости от класса начиная с 20-го уровня. Летательные аппараты продают управляющие воздушными портами в городах.
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Чтобы восстановить здоровье, откройте окно эмоций ('O') и выберите значок сидящего человека. Это медленный способ, зато экономный."
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Не забывайте смотреть, сколько ОЗ (ОМ, ОЭ) восстанавливают различные энергетики, напитки и еда. Покупайте их на свой уровень."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Press ESC to cancel your target.
CLIENT_TIP_INC_000008,Troupe means Party.,"Труппа - это то же самое, что группа, просто более необычно и по-цирковому."
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Чтобы использовать умение, перетащите его значок на панель быстрого доступа (F1-F10). Чтобы использовать комбинированное умение, перетащите его в ячейку действия, выберите цель и нажмите ‘C’."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,"Чтобы использовать 'Шквал', сначала нужно поместить в ячейку действия 'Прямой выпад'."
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Чтобы идти за персонажем, щелкните по нему левой кнопкой, удерживая ALT, и выберите в меню 'Следовать'. Чтобы лететь за персонажем, нажмите 'Пробел', удерживая 'Z'."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,"Чтобы переключаться между бегом и ходьбой, нажимайте 'X'."
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,"Чтобы напасть на монстра, дважды щелкните по нему или включите в 'Настройках' функцию автоатаки."
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,"Онлайн покупка или продажа пенни нарушает правила игры! Подобными действиями вы рискуете своим аккаунтом, а также можете быть наказаны администрацией."
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.
