Key,English,Filipino
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Para mabago ang view ng camera, igalaw ang mouse o gamitin ang arrow keys habang hinahawakan ang right mouse button (sa bagong bersyon) o pinipindot ang mouse wheel (sa lumang bersyon)"
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Sa pagpindot ng Spacebar, makakalundag ang player sa lupa; kapag nasa flying mode, ginagamit din ito para gumalaw habang lumilipad"
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Puwedeng lumipad kapag level 20 na kahit anong job class; mabibili ang flying items sa [Station] NPC sa bawat bayan
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Kung kailangan mo ng HP, magpahinga gamit ang sit order mula sa Motion interface menu; aabutin ng oras pero makakatipid ka kumpara sa pagbili"
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Kapag namatay ka, piliin ang 'Lodestar' sa revive window kung gusto mong pumunta sa bayan; para mag-revive sa mismong lugar ng pagkamatay gamitin ang 'Scroll of Resurrection' o hayaang mag-cast sa'yo ng Resurrection skill"
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Ang mga items na nagre-restore ng HP, MP, at FP tulad ng Food, Refresher, at Vita drink ay nagbabalik ng takdang halaga; tingnan ang amount na nire-restore para sa pinakamabisang paggamit"
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Kapag umabot ka ng level 15, tapusin agad ang Job transfer quest; kung hindi, hindi ka na makakakuha ng EXP"
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Pindutin ang ESC para alisin ang target
CLIENT_TIP_INC_000008,Troupe means Party.,Ang 'Troupe' ay nangangahulugang 'Party'
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Para gumamit ng skill, buksan ang skill window (Hot Key 'K') at i-drag ang skill icon papunta sa ibaba ng screen (F1~F10); para gumamit ng combined skill, i-drag ang skill icon sa action slot (kanan ibaba ng screen), i-target ang kalaban, at pindutin ang 'C'"
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Kailangang ilagay ang Clean Hit muna bago magamit ang Flurry sa ACTION SLOT
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Pagkatapos piliin ang karakter, i-left click habang hinahawakan ang ALT at piliin ang 'Follow' sa menu para sundan ang karakter; pindutin ang Space Bar habang hawak ang 'Z' kapag lumilipad ka"
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Ang pag-click sa target habang hinahawakan ang 'ALT' ay magbubukas ng menu para sa Guild, Messenger, Follow, at iba pa"
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,Pindutin ang 'X' para i-toggle ang paglalakad at pagtakbo
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,I-double click ang monster o i-set ang Auto Attack sa game options para awtomatikong umatake
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,Ipinagbabawal ang pagbebenta o pagbili ng Penya online ayon sa aming patakaran; nanganganib ang account mo at maaari kang maparusahan
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Ang pagbabahagi, pagbibigay, o pagbebenta ng account ay labag sa aming patakaran; ang paglabag ay maaaring magresulta sa permanenteng termination ng mga kaugnay na account"
