Key,English,Indonesian
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Untuk mengubah tampilan kamera, gerakkan mouse atau gunakan tombol panah dengan mengklik tombol kanan mouse (dalam versi baru) atau mengklik wheel button (dalam versi lama)"
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Dengan menekan space bar, pemain dapat melompat ke tanah, dan juga akan memindahkan flight dalam mode terbang"
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Terbang dapat dilakukan pada level 20 terlepas dari apapun kelas job kamu. Item terbang dapat dibeli dari [Station] NPC di setiap kota.
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Jika Kamu membutuhkan HP, Kamu dapat beristirahat melalui perintah duduk yang dapat Kamu pilih dalam motion interface menu. Ini akan memakan waktu tetapi menghemat uang."
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Ketika kamu mati, hidupkan kembali melalui 'Lodestar' jika kamu ingin pergi ke kota. Jika kamu ingin revive dari tempat posisi kamu mati, gunakan 'Scroll of Resurrection' atau gunakan skill Resurrection ke karaktermu."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Item yang memulihkan HP, MP, dan FP seperti Food, Refresher, dan Vita drink dapat mengembalikan dengan jumlah tertentu. Periksa jumlah yang dapat mereka pulihkan untuk efisiensi maksimum."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Ketika kamu mencapai level 15, selesaikan Job transfer quest sesegera mungkin. Jika tidak, kamu tidak akan bisa mendapatkan Exp lagi."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Tekan ESC untuk menonaktifkan penargetan.
CLIENT_TIP_INC_000008,Troupe means Party.,Troupe berarti Party.
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Untuk menggunakan skill, buka skill window (Hot Key 'K') dan drag skill ke bagian bawah layar (F1~F10). Untuk menggunakan skill gabungan, drag skill icon ke slot action (Kanan bawah layar) dan tentukan target lalu tekan tombol 'C' untuk menggunakan skill gabungan."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Kamu harus meletakkan skill Clean Hit dulu untuk dapat menggunakan skill flurry di ACTION SLOT.
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Setelah memilih karakter, klik tombol kiri mouse sambil menahan tombol ALT dan pilih 'Follow' di menu untuk mengikuti karakter. Tekan space bar sambil menahan tombol 'Z' pada saat kamu terbang."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Mengklik target sambil menahan 'ALT' akan mengaktifkan menu untuk Guild, Messenger, following, dll.."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,Tekan 'X' untuk togle berjalan dan berlari.
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,"Double click pada monster atau mengatur auto attack didalam game option, itu akan menyerang secara otomatis."
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,Menjual atau membeli penyas secara online melanggar kebijakan kami! Membeli penyas secara online membahayakan akun milikmu dan kamu dapat terkena hukuman.
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Membagikan, memberikan, atau menjual akun bertentangan dengan kebijakan kami. Pelanggaran apa pun dapat mengakibatkan penghentian permanen akun terkait."
