Key,English,Russian
CLIENT_FAQ_INC_000000,How can I be resurrected?,"Как воскреснуть, если я умер?"
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Проще всего возродиться в ближайшем городе, выбрав опцию 'Звезда Жизни'. Если у вас есть свиток воскрешения или друг, умеющий воскрешать соратников, можете возродиться в месте смерти."
CLIENT_FAQ_INC_000002,Where are the monsters?,Где обитают монстры?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,За пределами городов. Советуем выбирать врагов себе по уровню!
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Как выбрать и отменить выбор цели?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.","Чтобы атаковать врага, дважды щелкните по нему. Чтобы просто выделить врага, щелкните по нему один раз. Чтобы отменить выбор цели, нажмите ESC."
CLIENT_FAQ_INC_000006,How can I attack continuously?,Как нанести серию ударов?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Ensure that the Auto Attack setting in checked in the Option Window.
CLIENT_FAQ_INC_000008,How do you use the skills?,Как использовать умения?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Как использовать серию умений?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,"Поместите значки умений в ячейки быстрого доступа, выберите цель и нажмите 'C'. Умения, которые выглядят как кусочки паззла, нужно составить в правильном порядке."
CLIENT_FAQ_INC_000012,How do I gain my health back?,Как восстановить здоровье?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,"Дважды щелкните по еде или другому предмету, восстанавливающему здоровье. В описании предмета указано, сколько ОЗ он восстанавливает."
CLIENT_FAQ_INC_000014,How do I get a Job?,Как выбрать класс персонажа?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Получите 15-й уровень и поговорите с Джулией во Фларинции. Она направит вас к магистрам и инструкторам. Пути борца и униформиста начинаются во Фларинции, путь фокусника - в Санто, а путь акробата - на Дарконе."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Почему у меня заморозился опыт?
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Достигнув 15-го уровня, необходимо выбрать класс (амплуа), иначе вы не сможете больше получать опыт. Поговорите с магистрами и выберите класс, который вам больше всего подходит."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Если вы не можете выучить умение, проверьте, подходит ли оно вам по уровню и выполнены ли у вас требования для его изучения."
CLIENT_FAQ_INC_000020,How do I fly?,Как научиться летать?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Получите 20-й уровень и купите метлу или скейт у игрока или NPC. Дважды щелкните по своему летательному аппарату - и вперед, вернее, вверх!"
