Key,English,Portuguese
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Para mudar a visão da câmera, utilize as setas do teclado ou mova o mouse clicando com o botão direito (na nova versão) ou clicando no botão de rolagem (na versão antiga)"
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Ao pressionar a barra de espaço, o jogador pode pular no chão e também movimentar o voo quando em modo de voo."
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,"A função de voo está disponível a partir do nível 20, independentemente do seu tipo de classe. Itens voadores podem ser comprados no NPC [Estação] em cada cidade."
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Se você precisar recuperar HP, você pode descansar fazendo um pedido de descanso que pode ser selecionado no menu de interface de movimentos. Levará um tempo, mas economizará dinheiro."
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Quando você morrer, reviva através do ‘Ressurgir’ se você quiser ir para a cidade. Se você quer reviver no mesmo lugar que você morreu, use um ‘Pergaminho da Ressurreição’ ou tenha uma habilidade de Ressurreição utilizada em você. Lodelight o reviverá no campo em que escolheu."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","É importante verificar o máximo de capacidade do item, pois itens como comida e bebidas capazes de recuperar HP e MP possuem seus próprios limites. Eles irão recuperar apenas uma pequena parcela, caso o jogador tente ir além disso."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Quando você atingir o nível 15, conclua sua missão de transferência de classe o mais rápido possível. Se você não fizer isso, você não ganhará mais Experiência."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Pressione ESC para desmarcar o alvo.
CLIENT_TIP_INC_000008,Troupe means Party.,O jogador pode cancelar o grupo de alvos pressionando ESC ou o botão direito do mouse na janela de mapas.
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Para usar uma habilidade, abra a janela de habilidade (tecla de atalho ‘K’) e arraste o ícone de habilidade para os atalhos na parte inferior da tela. Para usar uma habilidade combinada, arraste um ícone de habilidade para o Action Slot (parte inferior direita da tela) e designe um alvo e clique em 'C' para usar a habilidade combinada."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Você deve colocar a habilidade Golpe Direto primeiro para usar a habilidade Agitação no ACTION SLOT.
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Depois de selecionar o personagem, clique com o botão esquerdo do mouse enquanto mantém pressionado ALT e escolha ‘Seguir’ no menu para seguir o personagem. Pressione a barra de espaço enquanto segura 'Z' quando estiver voando."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Clicar no alvo enquanto mantém pressionado 'ALT' ativa o menu para Guilda, Adicionar amigo, Seguir, etc.. "
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,Pressione 'X' para alternar entre caminhar e correr.
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,"Clicar duas vezes no monstro ou definir a opção de ataque automático no jogo, você poderá atacar automaticamente."
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,Vender ou comprar Penyas online é contra as nossas políticas! Comprar Penyas online coloca sua conta em risco e você pode ser banido.
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Compartilhar, dar ou vender uma conta vai contra nossas políticas. Qualquer violação pode resultar no encerramento permanente das contas relacionadas."
