Key,English,Filipino
CLIENT_FAQ_INC_000000,How can I be resurrected?,Paano ako mabubuhay muli?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.",Makaka-revive ka sa pinakamalapit na bayan kung pipiliin mo ang Lodestar sa revive window; kung may Scroll of Resurrection ka o may nag-cast ng resurrection skill sa'yo maaari kang bumalik agad sa lugar kung saan ka namatay
CLIENT_FAQ_INC_000002,Where are the monsters?,Saan ang mga halimaw?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,Nasa mga bukid at hunting grounds ang mga ito; siguraduhin na lumalaban ka lang sa mga kalabang kaya mong harapin
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Paano ako magta-target at i-deselect ito?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",I-double click ang target gamit ang iyong mouse para atakihin ito; isang click lang para i-target lang ito; pindutin ang ESC para i-deselect
CLIENT_FAQ_INC_000006,How can I attack continuously?,Paano ako makaka-atake nang tuloy-tuloy?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Siguraduhin na naka-check ang Auto Attack sa Option Window
CLIENT_FAQ_INC_000008,How do you use the skills?,Paano gamitin ang mga skills?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Pindutin ang K para buksan ang Skill menu at i-drag ang mga skill icon na gusto mong gamitin papunta sa action slot sa kanang ibaba ng screen
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Paano gamitin ang mga skills nang tuloy-tuloy?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Ilagay ang mga skill sa action slot at pindutin ang C kapag may target para gamitin ang mga ito; ang mga galaw na hugis puzzle pieces ay kailangang ilagay nang magkakasunod
CLIENT_FAQ_INC_000012,How do I gain my health back?,Paano ko mababawi ang aking health?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Magre-recover ang HP kapag na-double click mo ang pagkain at ilang ibang items; nakasaad sa item description kung gaano karaming HP ang naibabalik ng bawat item
CLIENT_FAQ_INC_000014,How do I get a Job?,Paano ako magkakaroon ng Job?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.",Kapag umabot ka ng level 15 kausapin si Julia sa Flarine para kunin ang job transfer quests; nagsisimula ang Mercenary at Assist quests sa Flaris; ang Magician quest sa Saint Morning; at ang Acrobat quest sa Darken
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Bakit hindi na ako nakakakuha ng EXP pag umabot ng level 15?
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.",Kapag umabot ka ng level 15 at hindi ka na nakakakuha ng EXP kailangan mong tapusin ang unang job transfer quest para makapagsimulang kumita ng EXP muli; hanapin ang job trainer at kumpletuhin ang quest para sa job na gusto mo kapag level 15 ka na
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Kung hindi mo makuha ang isang skill, i-check ang level ng karakter at ang naunang skill para siguraduhing na-meet mo ang requirements para sa skill na iyon"
CLIENT_FAQ_INC_000020,How do I fly?,Paano ako lilipad?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Pag naabot mo ang level 20, pwede kang bumili ng board o walis mula sa player o NPC; i-equip ito sa pamamagitan ng pag-double click at makakalipad ka na"
CLIENT_FAQ_INC_000022,How do I move the camera.,Paano ko ikokontrol ang camera?
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,May dalawang pangunahing paraan para i-kontrol ang camera. Lumang bersyon: pindutin at hawakan ang mouse wheel pagkatapos igalaw ang mouse. Bagong bersyon: pindutin at hawakan ang right mouse button pagkatapos igalaw ang mouse. Gamitin ang mouse wheel para mag-zoom in/out at i-rotate ang camera
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Paano ako makakabalik sa default na posisyon ng camera?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Lumang bersyon: i-double click ang mouse wheel. Bagong bersyon: i-double click ang right mouse button
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",Habang lumilipad mahirap i-move ang camera
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys",Habang lumilipad i-double click ang right mouse button o gamitin ang arrow keys
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Paano gamitin ang Emoticons?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,"Pindutin ang F9 para umupo at pindutin muli ang F9 para tumayo. Puwede ka ring pumindot ng O, piliin ang sit emotion, at i-drag ito sa bar"
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Paano makipag-trade sa ibang karakter?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","I-left click ang karakter habang hinahawakan ang ALT at piliin ang Trade. Hindi puwedeng gumamit o mag-drop ng items, at hindi rin puwedeng gamitin ang NPC shops habang nagti-trade"
CLIENT_FAQ_INC_000032,Where can I get a quest?,Saan ako makakakuha ng quest?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Kung gusto mong kumuha ng quest, kausapin ang mga NPC para malaman ang mga available"
CLIENT_FAQ_INC_000034,What is a duel?,Ano ang duel?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","Ito ay laban sa pagitan ng mga player, o PvP (Player vs Player) na may mutual na pahintulot; walang penalty ang duel"
CLIENT_FAQ_INC_000036,How can I become famous?,Paano ako magiging sikat?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Kapag mas maraming panalo mo sa tournaments, mas sumisikat ka; kapag naging high-level player ka, makikilala ka ng mga tao kahit saan ka magpunta"
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Bakit pula ang pangalan ng ibang players? Puwede ko bang atakihin lahat?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","Tumataas ang PK at Karma kapag pumatay ka ng ibang players; mapaparusahan ang karakter habang tumataas ang PK at Karma; ang pangalan ng PK character ay naka-pula. Mababawasan ang PK kapag na-complete ang Confession quest, at bumababa ang Karma habang pumatay ka ng monsters at/o kapag ikaw ay pinatay"
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?",Kung makakita ako ng bug ano ang pwede kong gawin?
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Kapag naka-encounter ka ng bug, i-report ito sa aming forums sa $WEBSITE$"
CLIENT_FAQ_INC_000042,What is a guild?,Ano ang guild?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Ang Guild ay mas malaking komunidad kaysa Party; maraming functions ang ma-aaccess habang tumataas ang guild level tulad ng Guild Bank, Guild Cloak, at 1-on-1 Guild Battle"
CLIENT_FAQ_INC_000044,Where can we form a guild?,Saan puwedeng mag-form ng guild?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Para makagawa ng Guild, dapat level 40 o pataas ang karakter; kapag level 40 na, kausapin si NPC Helena sa Saint Morning at kumpletuhin ang guild quest na ibibigay niya"
CLIENT_FAQ_INC_000046,How about a Party?,Paano naman ang Party?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,Puwede kang mag-form ng party para magsama-sama nang casual sa ibang players
CLIENT_FAQ_INC_000048,How to invite other players?,Paano mag-imbita ng ibang players?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,I-click ang ibang player at piliin ang Invite to join party
