Key,English,Italian
CLIENT_FAQ_INC_000000,How can I be resurrected?,How can I be resurrected?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died."
CLIENT_FAQ_INC_000002,Where are the monsters?,Where are the monsters?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,They are out in the fields. Make sure to fight only those that you can handle.
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,How can I designate a target and deselect it?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.","Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it."
CLIENT_FAQ_INC_000006,How can I attack continuously?,How can I attack continuously?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Ensure that the Auto Attack setting in checked in the Option Window.
CLIENT_FAQ_INC_000008,How do you use the skills?,How do you use the skills?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,How do you use the skills continuously?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.
CLIENT_FAQ_INC_000012,How do I gain my health back?,How do I gain my health back?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.
CLIENT_FAQ_INC_000014,How do I get a Job?,How do I get a Job?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,How come I do not gain anymore experience at level 15.
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill."
CLIENT_FAQ_INC_000020,How do I fly?,Come faccio a volare?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.
CLIENT_FAQ_INC_000022,How do I move the camera.,How do I move the camera.
