Key,English,Thai
CLIENT_FAQ_INC_000000,How can I be resurrected?,ฉันจะฟื้นคืนชีพได้อย่างไร?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.",คุณสามารถชุบชีวิตในเมืองที่ใกล้ที่สุดได้โดยเลือก 'Lodestar' ในหน้าต่างชุบชีวิต หากคุณมี 'Scroll of Resurrection' หรือมีสกิลการฟื้นคืนชีพติดอยู่กับคุณ คุณสามารถฟื้นคืนชีพได้ทันทีในสถานที่ที่คุณตาย
CLIENT_FAQ_INC_000002,Where are the monsters?,มอนสเตอร์อยู่ที่ไหน?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,เมื่อคุณออกไปนอกเมือง คุณจะพบมอนสเตอร์อยู่ตาม Map คุณต้องแน่ใจว่าคุณสามารถจัดการได้
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,ฉันจะกำหนดเป้าหมายและยกเลิกการเลือกได้อย่างไร?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",คลิกสองครั้งที่เป้าหมายด้วยเมาส์เพื่อโจมตี คลิกเพียงครั้งเดียวเพื่อกำหนดเป้าหมายแล้วกด ESC เพื่อยกเลิกการเลือก
CLIENT_FAQ_INC_000006,How can I attack continuously?,ฉันจะโจมตีอย่างต่อเนื่องได้อย่างไร?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,ตรวจสอบให้แน่ใจว่าได้เลือกการตั้งค่าการโจมตีอัตโนมัติใน Option
CLIENT_FAQ_INC_000008,How do you use the skills?,ใช้ skills อย่างไร?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,กด K สำหรับเมนู skills และลากไอคอน skills ที่คุณต้องการใช้ลงในช่องคีย์ลัด auto Skills ที่ด้านล่างขวาของหน้าจอ
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,ใช้ skills ต่อเนื่องได้อย่างไร?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,วาง Skills ในช่องคีย์ลัด auto Skills และกด C เมื่อกำหนดเป้าหมาย เพื่อใช้ Skills เหล่านั้น ย้าย Skills ต่อเนื่องของ Skills แรกจะต้องวางไว้ด้วยกัน
CLIENT_FAQ_INC_000012,How do I gain my health back?,ฉันจะฟื้นฟู HP ของได้อย่างไร?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,อาหารและไอเทมอื่นๆ จะฟื้นฟูสุขภาพของคุณเมื่อคุณดับเบิลคลิก จำนวน HP ที่กู้คืนแต่ละรายการจะระบุไว้ในคำอธิบายรายการ
CLIENT_FAQ_INC_000014,How do I get a Job?,ฉันจะเปลี่ยนอาชีพได้อย่างไร?
