Key,English,Spanish
CLIENT_FAQ_INC_000000,How can I be resurrected?,¿Cómo puedo revivir?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Puedes revivir en la ciudad más cercana eligiendo 'Estrella de Vida' en la ventana de revivir. Si tienes un 'Pergamino de Resurrección' o si te lanzan una habilidad de resurrección, puedes revivir instantáneamente en el lugar donde moriste."
CLIENT_FAQ_INC_000002,Where are the monsters?,¿Dónde están los monstruos?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,"Están fuera, en el campo. Asegúrate de combatir solo contra aquellos que no te supongan un riesgo."
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,¿Cómo puedo seleccionar un objetivo y deseleccionarlo?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",Haz doble clic con el ratón para atacar a un objetivo. Haz clic una vez para seleccionarlo. Pulsa la Tecla ESC para deseleccionarlo.
CLIENT_FAQ_INC_000006,How can I attack continuously?,¿Cómo ataco continuamente a un enemigo?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Asegúrate de que la configuración de Ataque Automático esté marcada en la Ventana de Opciones.
CLIENT_FAQ_INC_000008,How do you use the skills?,¿Cómo uso las habilidades?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,"Pulsa la Tecla K para abrir el menú de Habilidades y arrastra el icono de la habilidad que quieras usar a la barra de combo, ubicada en la esquina inferior derecha de tu pantalla."
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,¿Cómo usar Habilidades continuamente?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Coloca habilidades en la Barra de Combo y presiona C cuando selecciones a un objetivo. Los íconos de las habilidades que parecen piezas de un puzzle deben colocarse juntos.
CLIENT_FAQ_INC_000012,How do I gain my health back?,¿Cómo recupero la salud?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,La comida y algunos otros objetos restaurarán tu salud cuando hagas doble clic en ellos. La cantidad de HP que restaura cada objeto se indica en la descripción del mismo.
CLIENT_FAQ_INC_000014,How do I get a Job?,¿Cómo cambio de Clase?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Cuando alcances el nivel 15, habla con Julia en Flarine y obtén una misión de cambio de clase. Obtén las misiones de Mercenary y Assist en Flarine Este, la misión de Magician en Saint y la misión de Acrobat en Darken."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,¿Por qué al nivel 15 no gano más experiencia?
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Cuando alcanzas el nivel 15 y ya no puedes ganar Exp, debes completar tu misión de cambio a 1ra clase para volver a ganar Exp. Ve a ver al entrenador de clase y completa la misión de la clase que desees."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","En caso de que no puedas adquirir una habilidad, verifica el nivel de tu personaje y la habilidad anterior para asegurarte de que cumples con los requisitos para esa habilidad."
CLIENT_FAQ_INC_000020,How do I fly?,¿Cómo puedo volar?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Cuando alcanzas el nivel 20, puedes comprar una tabla o una escoba a un jugador o NPC. Luego equípatelo haciendo doble clic en él y podrás volar."
CLIENT_FAQ_INC_000022,How do I move the camera.,¿Cómo muevo la cámara?
