Key,English,German
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Um die Kameraansicht zu ändern, halte die rechte Maustaste gedrückt und bewege dann die Maus."
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Mit der Leertaste springt dein Charakter. Außerdem fliegst du los oder hälst an, wenn du dich auf einem Fluggerät befindest."
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Fliegen kannst du unabhängig von deiner Klasse ab Level 20. Fluggeräte kannst du bei einem [Station] NPC in jeder Stadt erwerben.
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.",Fliegen ist ab Level 20 möglich. Jede Jobklasse kann fliegen. Fluggeräte können bei der [Station] in jeder Stadt gekauft werden.
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Wenn du gestorben bist, lass dich durch ""Lodestar"" wieder beleben, wenn du in die Stadt gehen willst. Wenn du vor Ort wiederbelebt werden willst, nutze eine ""Scroll of Resurrection"" oder lass dich durch einen ""Resurrection"" Skill wiederbeleben."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Wenn du gestorben bist, kannst du dich entweder am Lodestar in der Stadt wiederbeleben oder du verwendest die Scroll of Resurrection um an Ort und Stelle wiederbelebt zu werden. Ebenso kannst du auch mit dem Skill Resurrection wiederbelebt werden."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Wenn du Stufe 15 erreicht hast, schließe so schnell wie möglich die Quest für den Klassenwechsel ab. Wenn du das nicht tust, wirst du keine weiteren EXP mehr erhalten können."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Drücke ESC um das Ziel abzuwählen.
CLIENT_TIP_INC_000008,Troupe means Party.,Drücke ESC um das Ziel abzuwählen.
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.",Party ist ein Zusammenschluss aus Spielern.
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Du musst zuerst Clean Hit und dann Brandish in die Komboleiste ziegen.
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Halte die linke ALT-Taste gedrückt und wähle einen Charakter aus. Klicke anschließend auf ""Folgen"", um dem Charakter zu folgen. Drücke die Leertaste, während du ""Z"" gedrückt hältst, wenn du fliegst."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Ein Klick auf das Ziel bei gedrückter 'ALT'-Taste aktiviert das Menü für Gilde, Messenger, Folgen usw.."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,"Wähle das Ziel an während du ALT gedrückt hältst. Nun siehst du die Charakteroption wie Gildeneinladung, Freundesanfrage, Folgen usw."
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,Ein Gamemaster ist grundsätzlich an dem [GM] hinter seinem Namen erkennbar. Die aktuelle GM Liste findest du auf unserem Discord Channel : $DISCORD$
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,"Drücke X um gehen zu können. Drücke X erneut, damit du wieder laufen kannst."
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Das Teilen, Weitergeben oder Verkaufen eines Kontos verstößt gegen unsere Richtlinien. Jeder Verstoß kann zu einer dauerhaften Sperre der entsprechenden Konten führen."
