Key,English,Portuguese
CLIENT_FAQ_INC_000000,How can I be resurrected?,Como posso ser ressucitado?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Você pode reviver na cidade mais próxima, escolhendo 'Ressurgir' na janela de reviver. Se você tiver um 'Pergaminho da Ressurreição' ou uma habilidade de ressurreição for lançada em você, você pode reviver instantaneamente no mesmo lugar em que morreu."
CLIENT_FAQ_INC_000002,Where are the monsters?,Onde estão os monstros?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,Eles estão pelos campos. Lute apenas contra aqueles com os quais consegue lidar.
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Como posso selecionar um alvo?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",Clique duas vezes sobre o alvo com o mouse para atacá-lo. Clique apenas uma vez para fazê-lo de alvo.
CLIENT_FAQ_INC_000006,How can I attack continuously?,Como posso atacar continuamente?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Certifique-se de que a configuração de Auto-ataque esteja marcada na janela de opções.
CLIENT_FAQ_INC_000008,How do you use the skills?,Como uso as habilidades?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Pressione K para o menu Habilidades e arraste os ícones de habilidades que deseja usar até algum compartimento no lado inferior direito da tela.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Como uso as habilidades continuamente?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Coloque as habilidades no action slot e pressione C ao colocar o alvo em alguma coisa. Movimentos em forma de peças de quebra-cabeça precisam ser feitos juntos.
CLIENT_FAQ_INC_000012,How do I gain my health back?,Como recupero minha vida?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Alimentos e alguns outros itens restaurarão sua vida ao clicar duas vezes neles. Há um período de resfriamento entre os usos para a maioria desses itens. A quantidade de HP que cada item restaura é indicada na descrição do item.
CLIENT_FAQ_INC_000014,How do I get a Job?,Como consigo uma Classe?
