Key,English,Vietnamese
CLIENT_FAQ_INC_000000,How can I be resurrected?,Làm thế nào để được hồi sinh?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Bạn có thể hồi sinh ở thị trấn gần nhất bằng cách chọn 'Lodestar' trong cửa sổ hồi sinh. Nếu bạn có 'Scroll of Resurrection' hoặc kỹ năng hồi sinh được sử dụng trên người, bạn có thể hồi sinh ngay lập tức tại nơi bạn đã chết."
CLIENT_FAQ_INC_000002,Where are the monsters?,Những quái vật ở đâu?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,Những con quái vật đang ở các trận địa. Hãy chắc chắn rằng chỉ chiến đấu với những quái vật mà bạn có thể xử lý.
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Làm cách nào để chỉ định một mục tiêu và bỏ chọn nó?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.","Nhấp đúp vào mục tiêu bằng chuột để tấn công mục tiêu, nhấp một lần chỉ để nhắm mục tiêu và nhấp vào ESC để bỏ chọn mục tiêu đó"
CLIENT_FAQ_INC_000006,How can I attack continuously?,Làm thế nào tôi có thể tấn công liên tục?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Đảm bảo rằng cài đặt Tự động tấn công được chọn trong Cửa sổ tùy chọn.
CLIENT_FAQ_INC_000008,How do you use the skills?,Làm thể nào để sử dụng các kỹ năng?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Nhấn K cho menu Kỹ năng và kéo các biểu tượng kỹ năng bạn muốn sử dụng vào vị trí hành động ở phía dưới bên phải của màn hình.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Làm thế nào để bạn sử dụng các kỹ năng liên tục?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Đặt các kỹ năng vào vị trí hành động và nhấn C khi nhắm mục tiêu vào thứ gì đó để sử dụng các kỹ năng đó. Các chuyển động có hình dạng giống như các mảnh ghép cần được đặt lại với nhau.
CLIENT_FAQ_INC_000012,How do I gain my health back?,Làm cách nào để hồi máu?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Thức ăn và một số vật phẩm khác sẽ phục hồi máu của bạn khi bạn nhấp đúp vào chúng. Lượng HP mỗi vật phẩm phục hồi được ghi chú trong phần mô tả vật phẩm.
CLIENT_FAQ_INC_000014,How do I get a Job?,Làm thế nào để có 1 chức nghiệp?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Khi bạn đạt đến cấp độ 15, hãy nói chuyện với Julia ở Flarine để nhận các nhiệm vụ chuyển chức nghiệp của bạn. Nhiệm vụ Mercenary và Assist bắt đầu từ Flaris, nhiệm vụ Magician bắt đầu ở Saint Morning, và nhiệm vụ Acrobat bắt đầu tại Darken."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Tại sao tôi không nhận được kinh nghiệm nữa ở cấp 15
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Khi bạn đạt đến cấp độ 15 và bạn không thể tăng Exp nữa, bạn phải hoàn thành nhiệm vụ chuyển chức nghiệp đầu tiên của mình để nhận lại Exp. Hãy đến gặp người huấn luyện chức nghiệp và hoàn thành nhiệm vụ cho chức nghiệp bạn muốn khi bạn đạt đến cấp độ 15."
CLIENT_FAQ_INC_000018,,
