Key,English,Japanese
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Purified Water
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White Reagent,White Reagent
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue Reagent,Blue Reagent
PRODUCTION_RECIPE_NAME_REDREAGENT,Red Reagent,Red Reagent
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green Reagent,Green Reagent
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow Reagent,Yellow Reagent
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold Reagent,Gold Reagent
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,スタミナドリンク 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,スタミナドリンク 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,魔力ドリンク 1
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,灰色の秘薬
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,魔力ドリンク 2
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Pine Oil
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,スタミナドリンク 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,スタミナドリンク 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,スタミナドリンク 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,スタミナドリンク 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,スタミナドリンク 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,スタミナドリンク 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,黄色い秘薬
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,青い秘薬
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,赤い秘薬
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,魔力ドリンク 3
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,魔力ドリンク 4
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,魔力ドリンク 5
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,魔力ドリンク 6
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,魔力ドリンク 7
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,魔力ドリンク 8
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,スタミナドリンク 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,魔力ドリンク 9
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,魔力ドリンク 10
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,金の秘薬
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Shining Gold Pill
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Concoction of Tough Skin
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Concoction of Rising Power
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Potion of the Tiger
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Potion of the Rabbit
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Potion of the Fox
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Potion of the Lion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Concoction of Accuracy
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Concoction of Evasion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Concoction of Swiftness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Concoction of Clarity
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Concoction of Recklessness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Concoction of Bleeding
