Key,English,German
CLIENT_FAQ_INC_000000,How can I be resurrected?,Wie kann ich wiederbelebt werden?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Du kannst dich in der nächstgelegenen Stadt wiederbeleben wenn du Lodestar wählst, nachdem du gestorben bist. Wenn du eine Scroll of Resurrection hast oder jemand Resurrection auf dich zaubert, kannst du auf Original Place klicken. Du wirst dann an Ort und Stelle wiederbelebt."
CLIENT_FAQ_INC_000002,Where are the monsters?,Wo sind die Monster?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,"Sie sind außerhalb der Städte. Stelle sicher, dass du nur jene Monster angreifst, welche du auch besiegen kannst."
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Wie kann ich ein Ziel auswählen und wieder davon ablassen?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",Mache einen Doppelklick auf das Monster um das Monster anzugreifen. Klicke einmal auf das Monster um die Informationen einzusehen. Drücke Esc um vom Monster abzulassen.
CLIENT_FAQ_INC_000006,How can I attack continuously?,Wie kann ich durchgehend angreifen?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Stelle sicher dass die Auto Attack Einstellung in den Optionen angewählt ist.
CLIENT_FAQ_INC_000008,How do you use the skills?,Wie benutze ich Skills?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Drücke 'K' um das Fähigkeitsmenü aufzurufen und ziehe die gewünschten Fähigkeiten in den Combo-Slot rechts unten.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Wie benutze ich ununterbrochen Skills?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Platziere einen Skill im Action Slot und drücke C wenn du ein Ziel anvisiert hast. Die Skills haben die Form eines Puzzleteils und passen somit perfekt aneinander.
CLIENT_FAQ_INC_000012,How do I gain my health back?,Wie kann ich meine Lebenspunkte auffüllen?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Nahrung stellt immer nur eine gewisse Menge an HP wieder her. Jeder HP Gegenstand stellt nur eine gewisse Menge an HP wieder her.
CLIENT_FAQ_INC_000014,How do I get a Job?,Wie wechsle ich meinen Job?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Wenn du Level 15 erreicht hast, sprich bitte mit Julia in Flaris um deine Job Quest zu erhalten."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Wieso bekomme ich keine Erfahrungspunkte mehr auf Level 15?
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Wenn du Level 15 erreichst und keine EXP mehr bekommst, musst du deine 1. Job-Quest abschließen, um wieder EXP zu erhalten. Gehe zum Jobtrainer und schließe die Quest für den Job ab, den du willst, wenn du Level 15 erreicht hast."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Falls du einen Skill nicht benutzen kannst, musst du mit der Maus auf ihn klicken um zu erfahren welche Voraussetzungen dafür nötig sind."
CLIENT_FAQ_INC_000020,How do I fly?,Wie fliege ich?
