Key,English,Vietnamese
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Để thay đổi chế độ xem camera, hãy di chuyển chuột hoặc sử dụng các phím mũi tên bằng cách nhấp vào nút chuột phải (trong phiên bản mới) hoặc nhấp vào nút bánh xe (trong phiên bản cũ)"
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Bằng cách nhấn phím cách, người chơi có thể nhảy trên mặt đất. và đồng thời, nó sẽ chuyển sang chế độ bay"
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Có thể bay ở cấp độ 20 bất kể thứ hạng chức nghiệp của bạn. Các vật phẩm bay có thể được mua từ NPC [Trạm] ở mỗi thị trấn.
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Nếu bạn cần HP, bạn có thể nghỉ ngơi thông qua lệnh ngồi mà bạn có thể chọn trong menu giao diện chuyển động. Sẽ mất thời gian nhưng tiết kiệm tiền."
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Khi bạn chết, hãy hồi sinh thông qua ‘Lodestar’ nếu bạn muốn đến thị trấn. Nếu bạn muốn hồi sinh từ nơi bạn đã chết, thì hãy sử dụng 'Scroll of Resurrection' hoặc sử dụng kỹ năng Hồi sinh cho bạn."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Các vật phẩm phục hồi HP, MP và FP như Thực phẩm, Bình bổ sung và Nước uống Vita sẽ phục hồi một lượng nhất định. Kiểm tra số lượng chúng khôi phục để có hiệu quả tối đa."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Khi bạn đạt đến cấp độ 15, hãy hoàn thành nhiệm vụ Chuyển đổi chức nghiệp của bạn càng sớm càng tốt. Nếu không, bạn sẽ không thể đạt được thêm Exp."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Nhấn ESC để tắt nhắm mục tiêu.
CLIENT_TIP_INC_000008,Troupe means Party.,Troupe có nghĩa là Nhóm
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Để sử dụng kỹ năng, hãy mở cửa sổ kỹ năng (Phím Nóng ‘K’) và kéo biểu tượng kỹ năng xuống cuối màn hình (F1 ~ F10). Để sử dụng một kỹ năng kết hợp, hãy kéo biểu tượng kỹ năng vào vị trí hành động (Dưới cùng bên phải của màn hình) và chỉ định mục tiêu và nhấp vào ‘C’ để sử dụng kỹ năng kết hợp."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Bạn phải đặt kỹ năng Clean Hit trước để sử dụng kỹ năng flurry trong ACTION SLOT.
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Sau khi chọn nhân vật, nhấp chuột trái trong khi giữ ALT và chọn ‘Theo dõi’ trong menu để theo dõi nhân vật. Nhấn Space Bar trong khi giữ ‘Z’ khi bạn đang bay."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Nhấp vào mục tiêu trong khi giữ 'ALT' sẽ kích hoạt menu cho Bang hội, Tin nhắn, theo dõi, v.v."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,Nhấn 'X' để bật/tắt đi bộ và chạy.
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,"Nhấp đúp vào quái vật hoặc thiết lập tùy chọn tự động tấn công trong trò chơi, nó sẽ tự động tấn công."
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,Bán hoặc mua Penyas trực tuyến là vi phạm chính sách của chúng tôi! Mua Penyas trực tuyến khiến tài khoản của bạn gặp rủi ro và bạn có thể bị trừng phạt.
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Chia sẻ, tặng hoặc bán tài khoản sẽ đi ngược với chính sách của chúng tôi. Bất kỳ vi phạm nào có thể dẫn đến việc chấm dứt vĩnh viễn các tài khoản liên quan."
