Key,English,French
CLIENT_FAQ_INC_000000,How can I be resurrected?,Comment revenir à la vie ?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Vous pouvez ressusciter dans la ville la plus proche en sélectionnant ""Puit de vie"" dans la fenêtre de renaissance. Si vous avez un ""Parchemin de résurrection"" ou une compétence de résurrection, l'option ""sur place"" s'activera, vous permettant de revenir à la vie à l'endroit ù vous êtes mort."
CLIENT_FAQ_INC_000002,Where are the monsters?,Mais où sont les monstres ?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,"Ils sont partout, assurez-vous que vous pourrez vous en charger."
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Comment puis-je cibler un monstre et le décibler ?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",Double cliquez avec votre souris sur la cible pour l'attaquer. Un simple clique permet de le cibler. Appuyer sur Echap pour le décibler.
CLIENT_FAQ_INC_000006,How can I attack continuously?,Comment attaquer ?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,"Vérifier que le réglage ""Attaque auto"" est bien activé dans les options."
CLIENT_FAQ_INC_000008,How do you use the skills?,Comment utiliser les compétences ?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,"Appuyez sur la touche K pour accéder au menu des compétences et faites les glisser dans votre ""Action slot"" en bas à droite de votre écran."
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Comment réaliser un combo ?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Mettez des compétences dans l'action slot et appuyez sur la touche C quand avez une cible. Les icones des mouvements pouvant s'assembler comme des pièces d'un puzzle s'enchaineront.
CLIENT_FAQ_INC_000012,How do I gain my health back?,La nourriture ne régénère plus ?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,La nourriture et d'autres objets vous redonnerons des points de vie si vous double cliquez dessus. Chaque objet à une capacité de régénération qui lui est propre.
CLIENT_FAQ_INC_000014,How do I get a Job?,Comment changer de classe ? 
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Quand vous aurez atteint le niveau 15, parlez à Julia à Flarine. Vous aurez la quête de changement de métier. Les quêtes pour devenir Mercenaire et Acolyte sont à Flarine Est, celle pour devenir Magicien est à Saint Morning et enfin, celle pour devenir Acrobate est à Darken."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,L'expérience ne progresse plus au niveau 15 ?!
