Key,English,Spanish
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.","Para mover la posición de la cámara, mueve el ratón o usa las teclas de movimiento mientras haces clic derecho en el ratón (en la versión nueva) o clic en la rueda de ratón (en la versión antigua)."
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.","Al presionar la barra espaciadora, el jugador puede saltar en el terreno, y también, puede acelerar y frenar en modo vuelo."
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,Cualquier personaje puede volar una vez que alcanza el nivel 20. Los objetos de vuelo se pueden comprar en el NPC [Estación] de cada ciudad.
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.","Si necesitas HP, puedes tomar un descanso con la opción de sentarte a través del menú de gestos. Tomará tiempo pero ahorraras dinero."
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","Cuando mueres, puedes revivir en la ciudad más cercana usando la opción ""Estrella de Vida"". Si quieres revivir en el mismo lugar donde moriste, necesitas un ""Pergamino de Resurrección"" o que alguien use la Habilidad ""Resurrección"" en ti."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","Los objetos que restauran HP, MP y FP, como la comida, los refrescos y las bebidas vitales, restauran una cierta cantidad. Comprueba la cantidad que restauran para obtener la máxima eficiencia."
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.","Cuando alcances el Nivel 15, ve a completar tu cambio de Clase lo antes posible. Si no lo haces, no podrás seguir ganando Exp."
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,Pulsa ESC para deseleccionar a tu objetivo.
CLIENT_TIP_INC_000008,Troupe means Party.,Una Party es lo mismo que un Grupo.
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","Para usar una habilidad, abre la ventana de habilidades (Tecla de acceso directo 'K') y arrastra el icono de la habilidad hasta la parte inferior de la pantalla (F1~F10). Para usar una habilidad combinada, arrastre un ícono de habilidad a la barra de combo (parte inferior derecha de la pantalla), selecciona a un objetivo y pulsa la Tecla 'C' para usar la habilidad combinada."
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,Tienes que poner la habilidad Clean Hit primero para poder usar la habilidad Flurry en la BARRA DE COMBO.
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.","Para seguir a un personaje, ALT + Clic sobre él y selecciona la opción ""Seguir"". Para seguir a un personaje mientras vuelas, selecciónalo y luego presiona ""Z""."
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","Pulsar 'ALT' + clic en otro jugador activa un menú con opciones como Seguir, Invitar a Party, Comerciar, etc.."
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,"Pulsa ""X"" para caminar y pulsa ""X"" otra vez para correr."
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,"Al hacer doble clic en el monstruo o en la opción de ataque automático, atacarás automáticamente."
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,Comprar o vender Penyas online está en contra de nuestras políticas. Comprar Penyas online pone tu cuenta en riesgo y puedes ser castigado.
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,"Compartir, dar o vender una cuenta va en contra de nuestras políticas. Cualquier incumplimiento puede resultar en la suspensión permanente de las cuentas relacionadas."
